Character,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
file:/C:/mallet/mydata/Cleaned-RE2/RE2_Ada.txt,0.018965517,0.012068966,0.098275862,0.001724138,0.260344828,0.339655172,0.005172414,0.105172414,0.118965517,0.039655172
file:/C:/mallet/mydata/Cleaned-RE2/RE2_Annette.txt,0.044159544,0.007122507,0.078347578,0.004273504,0.158119658,0.018518519,0.57977208,0.018518519,0.047008547,0.044159544
file:/C:/mallet/mydata/Cleaned-RE2/RE2_Claire.txt,8.01E-04,0.201121795,0.46875,8.01E-04,0.012019231,0.002403846,0.048878205,0.082532051,0.008814103,0.173878205
file:/C:/mallet/mydata/Cleaned-RE2/RE2_Irons.txt,0.535532995,0.002538071,0.002538071,0.002538071,0.017766497,0.002538071,0.043147208,0.002538071,0.002538071,0.388324873
file:/C:/mallet/mydata/Cleaned-RE2/RE2_Kendo.txt,0.085365854,0.134146341,0.012195122,0.012195122,0.134146341,0.182926829,0.036585366,0.280487805,0.012195122,0.109756098
file:/C:/mallet/mydata/Cleaned-RE2/RE2_Leon.txt,0.004078303,0.129690049,0.07096248,0.004078303,0.039967374,0.007340946,0.008972268,0.113376835,0.563621533,0.057911909
file:/C:/mallet/mydata/Cleaned-RE2/RE2_Marvin.txt,0.00617284,0.043209877,0.018518519,0.648148148,0.00617284,0.166666667,0.055555556,0.030864198,0.018518519,0.00617284
file:/C:/mallet/mydata/Cleaned-RE2/RE2_Sherry.txt,0.031707317,0.602439024,0.085365854,0.002439024,0.012195122,0.153658537,0.007317073,0.002439024,0.002439024,0.1
file:/C:/mallet/mydata/Cleaned-RE2/RE2_William.txt,0.096153846,0.096153846,0.019230769,0.019230769,0.019230769,0.557692308,0.134615385,0.019230769,0.019230769,0.019230769
